Fri May 26 12:00:51 2023 
Setup time: 0.00 seconds
--------------------- 
Step 	 Time 	 Stopwatch 	 Average Temperature 	 Nusselt Number 	 Vrms 	 Surface Heat Flux 	 Bottom Heat Flux 	 Other Walls Heat Flux 
75 	 0.00 	 0.76 	  0.49967 	 1.73189 	 58161.52145 	 5.19568 	 5.20034 	 38.28312 	 
76 	 0.00 	 0.71 	  0.49967 	 1.74695 	 58460.15184 	 5.24085 	 5.24535 	 38.33028 	 
77 	 0.00 	 0.71 	  0.49967 	 1.76218 	 58756.08272 	 5.28655 	 5.29087 	 38.37755 	 
78 	 0.00 	 0.70 	  0.49967 	 1.77759 	 59049.30777 	 5.33277 	 5.33692 	 38.42491 	 
79 	 0.00 	 0.69 	  0.49967 	 1.79318 	 59339.82090 	 5.37953 	 5.38350 	 38.47237 	 
80 	 0.00 	 0.68 	  0.49967 	 1.80894 	 59627.61347 	 5.42683 	 5.43061 	 38.51989 	 
81 	 0.00 	 0.89 	  0.49967 	 1.82489 	 59912.67840 	 5.47467 	 5.47826 	 38.56748 	 
82 	 0.00 	 0.73 	  0.49967 	 1.84102 	 60195.01039 	 5.52306 	 5.52646 	 38.61510 	 
83 	 0.00 	 0.74 	  0.49967 	 1.85734 	 60474.60438 	 5.57201 	 5.57521 	 38.66276 	 
84 	 0.00 	 0.77 	  0.49967 	 1.87384 	 60751.45557 	 5.62152 	 5.62452 	 38.71043 	 
85 	 0.00 	 0.70 	  0.49967 	 1.89053 	 61025.55934 	 5.67159 	 5.67438 	 38.75810 	 
86 	 0.00 	 0.80 	  0.49967 	 1.90741 	 61296.91132 	 5.72224 	 5.72482 	 38.80576 	 
87 	 0.00 	 0.71 	  0.49967 	 1.92449 	 61565.50734 	 5.77346 	 5.77583 	 38.85338 	 
88 	 0.00 	 0.77 	  0.49967 	 1.94176 	 61831.34348 	 5.82527 	 5.82741 	 38.90095 	 
89 	 0.00 	 0.76 	  0.49967 	 1.95922 	 62094.41604 	 5.87767 	 5.87959 	 38.94846 	 
90 	 0.00 	 0.73 	  0.49967 	 1.97689 	 62354.72150 	 5.93066 	 5.93235 	 38.99589 	 
91 	 0.00 	 0.85 	  0.49967 	 1.99475 	 62612.25659 	 5.98426 	 5.98571 	 39.04321 	 
92 	 0.00 	 0.78 	  0.49967 	 2.01282 	 62867.01823 	 6.03847 	 6.03967 	 39.09042 	 
93 	 0.00 	 0.67 	  0.49967 	 2.03110 	 63119.00354 	 6.09329 	 6.09424 	 39.13749 	 
94 	 0.00 	 0.72 	  0.49967 	 2.04958 	 63368.20987 	 6.14873 	 6.14943 	 39.18442 	 
95 	 0.00 	 0.71 	  0.49967 	 2.06826 	 63614.63476 	 6.20479 	 6.20524 	 39.23116 	 
96 	 0.00 	 0.70 	  0.49967 	 2.08717 	 63858.27593 	 6.26150 	 6.26168 	 39.27772 	 
97 	 0.00 	 0.75 	  0.49967 	 2.10628 	 64099.13133 	 6.31884 	 6.31875 	 39.32407 	 
98 	 0.00 	 0.75 	  0.49967 	 2.12561 	 64337.19908 	 6.37682 	 6.37646 	 39.37019 	 
99 	 0.00 	 0.76 	  0.49967 	 2.14515 	 64572.47750 	 6.43546 	 6.43481 	 39.41606 	 
100 	 0.00 	 0.70 	  0.49967 	 2.16492 	 64804.96509 	 6.49476 	 6.49382 	 39.46165 	 
101 	 0.00 	 0.88 	  0.49967 	 2.18491 	 65034.66054 	 6.55473 	 6.55349 	 39.50696 	 
102 	 0.00 	 0.74 	  0.49967 	 2.20512 	 65261.56272 	 6.61537 	 6.61383 	 39.55196 	 
103 	 0.00 	 0.72 	  0.49967 	 2.22556 	 65485.67070 	 6.67668 	 6.67484 	 39.59663 	 
104 	 0.00 	 0.74 	  0.49967 	 2.24623 	 65706.98369 	 6.73869 	 6.73653 	 39.64096 	 
105 	 0.00 	 0.75 	  0.49967 	 2.26713 	 65925.50109 	 6.80138 	 6.79891 	 39.68491 	 
106 	 0.00 	 0.73 	  0.49967 	 2.28826 	 66141.22249 	 6.86478 	 6.86199 	 39.72846 	 
107 	 0.00 	 0.74 	  0.49967 	 2.30963 	 66354.14761 	 6.92888 	 6.92576 	 39.77161 	 
108 	 0.00 	 0.73 	  0.49967 	 2.33123 	 66564.27637 	 6.99370 	 6.99025 	 39.81432 	 
109 	 0.00 	 0.79 	  0.49967 	 2.35308 	 66771.60884 	 7.05923 	 7.05545 	 39.85658 	 
110 	 0.00 	 0.73 	  0.49967 	 2.37517 	 66976.14492 	 7.12550 	 7.12137 	 39.89836 	 
111 	 0.00 	 0.86 	  0.49967 	 2.39750 	 67177.88122 	 7.19250 	 7.18802 	 39.93965 	 
112 	 0.00 	 0.76 	  0.49967 	 2.42008 	 67376.81841 	 7.26025 	 7.25541 	 39.98042 	 
113 	 0.00 	 0.72 	  0.49967 	 2.44291 	 67572.95731 	 7.32874 	 7.32354 	 40.02064 	 
